Soru_No,Soru_Metni,A_Seçeneği,B_Seçeneği,C_Seçeneği,D_Seçeneği,E_Seçeneği,Tema_Adi,Ogrenme_Ciktisi,Ogrenme_Baglantisi,Dogru_Cevap
1,Dijital kimlik aşağıdakilerden hangisini içermez? ,E-posta adresi,Sosyal medya profili,Fiziksel adres,Kullanıcı adı ,Şifre,Dijital Kimlik, Dijital kimlik kavramını belirler.,https://ders.eba.gov.tr/ders/proxy/VCollabPlayer_v0.0.1063/index.html#/main/curriculumResource?resourceID=a2202236e495fbe747cf7bfbca8dcfd7&resourceTypeID=3&loc=10&showCurriculumPath=false,C
2,Dijital ayak izi ne zaman oluşur? ,Bilgisayar kapalıyken,Elektrik kesildiğinde,İnternette işlem yapıldığında,Telefon sessizdeyken,Uygulama silindiğinde,Dijital Ayak İzi,Dijital ayak izinin etkilerini bilişim teknolojilerinin kullanım alanları ile ilişkilendirir.,https://ders.eba.gov.tr/ders/proxy/VCollabPlayer_v0.0.1063/index.html#/main/curriculumResource?resourceID=a2202236e495fbe747cf7bfbca8dcfd7&resourceTypeID=3&loc=10&showCurriculumPath=false,C
3,Aşağıdakilerden hangisi dijital vatandaşlık uygulamasıdır? ,Sokakta yürümek,Kitap okumak ,Müzik dinlemek,Spor yapmak ,E-devlet üzerinden işlem yapmak,Dijital Vatandaşlık,Dijital vatandaşlık uygulamalarını kullanım alanlarına göre gruplandırır.,https://ders.eba.gov.tr/ders/proxy/VCollabPlayer_v0.0.1063/index.html#/main/curriculumResource?resourceID=a2202236e495fbe747cf7bfbca8dcfd7&resourceTypeID=3&loc=10&showCurriculumPath=false,E
4,Dijital kimliğin korunması için ne yapılmalıdır? ,Şifreyi herkesle paylaşmak,Güçlü ve gizli şifre kullanmak,Bilgisayarı açık bırakmak,Sosyal medyada her bilgiyi paylaşmak,Bilinmeyen sitelere girmek,Dijital Kimlik,Dijital kimlik kavramını belirler.,https://ders.eba.gov.tr/ders/proxy/VCollabPlayer_v0.0.1063/index.html#/main/curriculumResource?resourceID=a2202236e495fbe747cf7bfbca8dcfd7&resourceTypeID=3&loc=10&showCurriculumPath=false,B
5,Dijital ayak izi ile ilgili hangisi doğrudur? ,Silinemez ve sonsuza kadar kalır ,Sadece devlet tarafından görülür ,Mobil cihazlarda oluşmaz,İnternette yapılan her işlem iz bırakır ,Sadece sosyal medya için geçerlidir ,Dijital Ayak İzi,Dijital ayak izinin etkilerini bilişim teknolojilerinin kullanım alanları ile ilişkilendirir.,https://ders.eba.gov.tr/ders/proxy/VCollabPlayer_v0.0.1063/index.html#/main/curriculumResource?resourceID=a2202236e495fbe747cf7bfbca8dcfd7&resourceTypeID=3&loc=10&showCurriculumPath=false,D
6,Aşağıdakilerden hangisi dijital vatandaşlık alanlarından biri değildir? ,Tarım ,Eğitim,Sağlık ,Güvenlik,İletişim,Dijital Vatandaşlık,Dijital vatandaşlık uygulamalarını kullanım alanlarına göre gruplandırır.,https://ders.eba.gov.tr/ders/proxy/VCollabPlayer_v0.0.1063/index.html#/main/curriculumResource?resourceID=a2202236e495fbe747cf7bfbca8dcfd7&resourceTypeID=3&loc=10&showCurriculumPath=false,A
7,Dijital kimlik oluştururken hangisi gereklidir? ,Fiziksel kimlik kartı ,El yazısı ,Parmak izi ,Kullanıcı adı ve şifre,Fotoğraf albümü,Dijital Kimlik,Dijital kimlik kavramını belirler.,https://ders.eba.gov.tr/ders/proxy/VCollabPlayer_v0.0.1063/index.html#/main/curriculumResource?resourceID=a2202236e495fbe747cf7bfbca8dcfd7&resourceTypeID=3&loc=10&showCurriculumPath=false,D
8,Dijital vatandaşlık neden önemlidir? ,Daha çok oyun oynayabilmek,Bilgisayar hızını artırmak için,Güvenli ve bilinçli internet kullanımı için,Sosyal medya takipçi sayısını artırmak için ,Telefonun ekranını korumak için,Dijital Vatandaşlık,Dijital vatandaşlık uygulamalarını kullanım alanlarına göre gruplandırır.,https://ders.eba.gov.tr/ders/proxy/VCollabPlayer_v0.0.1063/index.html#/main/curriculumResource?resourceID=a2202236e495fbe747cf7bfbca8dcfd7&resourceTypeID=3&loc=10&showCurriculumPath=false,C
9,Dijital ayak izini azaltmak için ne yapılmalıdır? ,Gereksiz uygulamaları silmek,Şifreleri paylaşmak ,Her siteye üye olmak,Sosyal medya takipçi sayısını artırmak için ,Telefonun ekranını korumak için,Dijital Ayak İzi,Dijital ayak izinin etkilerini bilişim teknolojilerinin kullanım alanları ile ilişkilendirir.,https://ders.eba.gov.tr/ders/proxy/VCollabPlayer_v0.0.1063/index.html#/main/curriculumResource?resourceID=a2202236e495fbe747cf7bfbca8dcfd7&resourceTypeID=3&loc=10&showCurriculumPath=false,A
10,Dijital vatandaşlık uygulamaları hangi alanla ilgili olabilir?,Sadece oyunlar,Sadece sosyal medya,Sadece alışveriş ,Sadece eğlence,"Eğitim, sağlık, güvenlik gibi birçok alan",Dijital Vatandaşlık,Dijital vatandaşlık uygulamalarını kullanım alanlarına göre gruplandırır.,https://ders.eba.gov.tr/ders/proxy/VCollabPlayer_v0.0.1063/index.html#/main/curriculumResource?resourceID=a2202236e495fbe747cf7bfbca8dcfd7&resourceTypeID=3&loc=10&showCurriculumPath=false,E
